SETTD,DAILYT
2017-01-07,6852230.785
2017-01-08,6002101.963
2017-01-09,5227333.842
2017-01-10,5381753.451
2017-01-11,4985342.136
2017-01-12,5168470.216
2017-01-13,5119071.056
2017-01-14,4031277.584
2017-01-15,3898985.799
2017-01-16,5476420.279
2017-01-17,6957275.498
2017-01-18,5058220.936000002
2017-01-19,4874211.34
2017-01-20,4815992.4739999985
2017-01-21,4085035.663
2017-01-22,4503750.31
2017-01-23,6820334.922
2017-01-24,5329247.912
2017-01-25,4850412.897
2017-01-26,4042273.176
2017-01-27,4846579.328
2017-01-28,4499369.785
2017-01-29,4645768.803
2017-01-30,5451517.319
2017-01-31,4940896.66
2017-02-01,4805921.655
2017-02-02,4897291.1110000005
2017-02-03,5168667.282
2017-02-04,5450333.682
2017-02-05,5233036.622
